class ,Function,Chemical ,temperature ,RS,std.d,t50,SE
Pharm,antibiotic ,Tetracycline,4,0.033,0.036,7,0.020891301
Pharm,antibiotic ,Trimethoprim,4,0.065,0.057,7,0.032683266
Pharm,antidepressant ,Venlafaxine,4,0.100,0.074,7,0.043008138
Pharm,betablocker,atenolol,15,0.0196,0.0275,30,0.009160734
Pharm,antidepressant ,Buspirone,15,0.0127,0.0127,7,0.007319873
Pharm,anticonvulsant ,Carbamazepine A,15,0.0000,0.0000,0,0
Pharm,antibiotic ,Erythromycin,15,0.0000,0.0000,0,0
Pharm,NSAID,Ketoprofen,15,0.0441,0.0446,30,0.014862478
Pharm,antidiabetic,Metformin,15,0.0221,0.0192,7,0.011070708
Pharm,blood pressure,Metoprolol,15,0.0837,0.0663,30,0.022111668
Pharm,antibiotic ,Ofloxacin,15,0.0816,0.0899,30,0.029951582
Pharm,antibiotic ,Oxytetracycline,15,0.1697,0.0653,7,0.037713924
Pharm,antibiotic ,Sulfadiazine,15,0.326,0.339,30,0.113153072
Pharm,antibiotic ,Sulfadimethoxine,15,0.106,0.178,30,0.059237717
Pharm,antibiotic ,Sulfamethoxazole,15,0.041,0.049,30,0.016403515
Pharm,antibiotic ,Tetracycline,15,0.0083,0.0164,30,0.005477684
Pharm,antibiotic ,Trimethoprim,15,0.0243,0.0277,30,0.009219888
Pharm,antidepressant ,Venlafaxine,15,0.0742,0.0722,7,0.041656758
Pharm,betablocker,atenolol,30,0.0359,0.0432,30,0.014399058
Pharm,antidepressant ,Buspirone,30,0.0127,0.0000,7,0
Pharm,anticonvulsant ,Carbamazepine A,30,0.0754,0.0579,30,0.019297616
Pharm,antibiotic ,Erythromycin,30,0.0042,0.0047,30,0.001577608
Pharm,NSAID,Ketoprofen,30,0.0470,0.0128,30,0.004274585
Pharm,antidiabetic,Metformin,30,0.0055,0.0096,7,0.005535354
Pharm,blood pressure,Metoprolol,30,0.1236,0.0388,14,0.015843928
Pharm,antibiotic ,Ofloxacin,30,0.0995,0.0294,30,0.009811992
Pharm,antibiotic ,Oxytetracycline,30,0.1284,0.0419,14,0.024198967
Pharm,antibiotic ,Sulfadiazine,30,0.4703,0.1355,30,0.045153683
Pharm,antibiotic ,Sulfadimethoxine,30,0.1879,0.0255,7,0.01472495
Pharm,antibiotic ,Sulfamethoxazole,30,0.0509,0.0459,7,0.026504533
Pharm,antibiotic ,Tetracycline,30,0.0113,0.0100,30,0.003322499
Pharm,antibiotic ,Trimethoprim,30,0.0306,0.0119,30,0.003973277
Pharm,antidepressant ,Venlafaxine,30,0.0535,0.0359,30,0.011950232
Pharm,betablocker,atenolol,45,0.0519,0.0450,7,0.025974026
Pharm,antidepressant ,Buspirone,45,0.0042,0.0073,7,0.004226131
Pharm,anticonvulsant ,Carbamazepine A,45,0.4329,0.4261,7,0.2459926
Pharm,antibiotic ,Erythromycin,45,0.0708,0.1009,7,0.058275058
Pharm,NSAID,Ketoprofen,45,0.2456,0.3389,7,0.195637696
Pharm,antidiabetic,Metformin,45,0.0055,0.0096,7,0.005535354
Pharm,blood pressure,Metoprolol,45,0.3007,0.2694,7,0.155522398
Pharm,antibiotic ,Ofloxacin,45,0.4043,0.3714,7,0.214437402
Pharm,antibiotic ,Oxytetracycline,45,0.2546,0.2295,7,0.132492251
Pharm,antibiotic ,Sulfadiazine,45,1.8918,1.6804,7,0.970160681
Pharm,antibiotic ,Sulfadimethoxine,45,0.6575,0.7366,7,0.4252623
Pharm,antibiotic ,Sulfamethoxazole,45,0.1995,0.3130,7,0.180711899
Pharm,antibiotic ,Tetracycline,45,0.1128,0.1846,7,0.061549615
Pharm,antibiotic ,Trimethoprim,45,0.2251,0.3562,7,0.205661879
Pharm,antidepressant ,Venlafaxine,45,0.2402,0.3294,7,0.190194711
Pharm,betablocker,atenolol,4,0.013,0.010,30,0.003290509
